nb;dept;COMMUNE;Commune;CP;Code_insee;longitude;latitude
1;1;OZAN;Ozan;1190;1284;4.91667;46.3833
2;1;CORMORANCHE-SUR-SAONE;Cormoranche-sur-Saône;1290;1123;4.83333;46.2333
3;1;PLAGNE;Plagne;1130;1298;5.73333;46.1833
4;1;TOSSIAT;Tossiat;1250;1422;5.31667;46.1333
5;1;POUILLAT;Pouillat;1250;1309;5.43333;46.3333
6;1;TORCIEU;Torcieu;1230;1421;5.4;45.9167
7;1;REPLONGES;Replonges;1620;1320;4.88333;46.3
8;1;CORCELLES;Corcelles;1110;1119;5.58333;46.0333
9;1;PERON;Péron;1630;1288;5.93333;46.2
10;1;RELEVANT;Relevant;1990;1319;4.95;46.0833
11;1;CHAVEYRIAT;Chaveyriat;1660;1096;5.06667;46.1833
12;1;VAUX-EN-BUGEY;Vaux-en-Bugey;1150;1431;5.35;45.9167
13;1;MAILLAT;Maillat;1430;1228;5.55;46.1333
14;1;FARAMANS;Faramans;1800;1156;5.11667;45.9
15;1;BEON;Béon;1350;1039;5.75;45.8333
16;1;SAINT-BERNARD;Saint-Bernard;1600;1339;4.73723;45.945
17;1;ROSSILLON;Rossillon;1510;1329;5.6;45.8333
18;1;PONT-D'AIN;Pont-d'Ain;1160;1304;5.33333;46.05
19;1;NANTUA;Nantua;1460;1269;5.61667;46.15
20;1;CHAVANNES-SUR-REYSSOUZE;Chavannes-sur-Reyssouze;1190;1094;5;46.4333
21;1;NEUVILLE-LES-DAMES;Neuville-les-Dames;1400;1272;5;46.1667
22;1;FLAXIEU;Flaxieu;1350;1162;5.73333;45.8167
23;1;HOTONNES;Hotonnes;1260;1187;5.68333;46
24;1;SAINT-SORLIN-EN-BUGEY;Saint-Sorlin-en-Bugey;1150;1386;5.36667;45.8833
25;1;SONGIEU;Songieu;1260;1409;5.7;45.9667
26;1;VIRIEU-LE-PETIT;Virieu-le-Petit;1260;1453;5.71667;45.9
27;1;SAINT-DENIS-EN-BUGEY;Saint-Denis-en-Bugey;1500;1345;5.33333;45.95
28;1;CHARNOZ-SUR-AIN;Charnoz-sur-Ain;1800;1088;5.21667;45.8667
29;1;CHAZEY-SUR-AIN;Chazey-sur-Ain;1150;1099;5.25;45.9
30;1;MARCHAMP;Marchamp;1680;1233;5.55;45.7833
31;1;CULOZ;Culoz;1350;1138;5.78333;45.85
32;1;MANTENAY-MONTLIN;Mantenay-Montlin;1560;1230;5.08333;46.4167
33;1;MARBOZ;Marboz;1851;1232;5.25;46.3333
34;1;FOISSIAT;Foissiat;1340;1163;5.18333;46.3667
35;1;TREFFORT-CUISIAT;Treffort-Cuisiat;1370;1426;5.36834;46.2714
36;1;IZIEU;Izieu;1300;1193;5.63333;45.65
37;1;SAINT-ETIENNE-DU-BOIS;Saint-Étienne-du-Bois;1370;1350;5.28333;46.2833
38;1;HAUTEVILLE-LOMPNES;Hauteville-Lompnes;1110;1185;5.6;45.9667
39;1;SAINT-TRIVIER-SUR-MOIGNANS;Saint-Trivier-sur-Moignans;1990;1389;4.9;46.0667
40;1;PEYRIAT;Peyriat;1430;1293;5.51667;46.15
41;1;EVOSGES;Évosges;1230;1155;5.5;45.9583
42;1;PONCIN;Poncin;1450;1303;5.4;46.0833
43;1;CRANS;Crans;1320;1129;5.21667;45.9667
44;1;MONTREAL-LA-CLUSE;Montréal-la-Cluse;1460;1265;5.57084;46.1867
45;1;CLEYZIEU;Cleyzieu;1230;1107;5.43333;45.9
46;1;LOMPNIEU;Lompnieu;1260;1221;5.65;45.9667
47;1;VILLEREVERSURE;Villereversure;1250;1447;5.38333;46.1833
48;1;SAINT-MARTIN-DU-MONT;Saint-Martin-du-Mont;1160;1374;5.33333;46.1
49;1;SAINT-GENIS-POUILLY;Saint-Genis-Pouilly;1630;1354;6.01667;46.25
50;1;BOLOZON;Bolozon;1450;1051;5.48333;46.2
51;1;CONFRANCON;Confrançon;1310;1115;5.06667;46.2667
52;1;LOCHIEU;Lochieu;1260;1218;5.71667;45.9333
53;1;CHANOZ-CHATENAY;Chanoz-Châtenay;1400;1084;5.03333;46.1833
54;1;VILLEBOIS;Villebois;1150;1444;5.43333;45.85
55;1;CEIGNES;Ceignes;1430;1067;5.5;46.1167
56;1;SAINT-DIDIER-SUR-CHALARONNE;Saint-Didier-sur-Chalaronne;1140;1348;4.81667;46.1667
57;1;REVONNAS;Revonnas;1250;1321;5.33333;46.1667
58;1;BOURG-SAINT-CHRISTOPHE;Bourg-Saint-Christophe;1800;1054;5.16667;45.8833
59;1;CONDEISSIAT;Condeissiat;1400;1113;5.08333;46.1667
60;1;PIRAJOUX;Pirajoux;1270;1296;5.3;46.3833
61;1;CHALAMONT;Chalamont;1320;1074;5.16667;46
62;1;LE PLANTAY;Le Plantay;1330;1299;5.08333;46.0167
63;1;VERSAILLEUX;Versailleux;1330;1434;5.1;45.9833
64;1;MONTAGNAT;Montagnat;1250;1254;5.28333;46.1667
65;1;VIEU;Vieu;1260;1442;5.68333;45.9
66;1;SAINT-ANDRE-DE-CORCY;Saint-André-de-Corcy;1390;1333;4.95;45.9167
67;1;BRESSOLLES;Bressolles;1360;1062;5.1;45.8667
68;1;PERONNAS;Péronnas;1960;1289;5.2;46.1833
69;1;COLOMIEU;Colomieu;1300;1110;5.61667;45.7333
70;1;MONTHIEUX;Monthieux;1390;1261;4.93333;45.95
71;1;SAINT-JEAN-SUR-REYSSOUZE;Saint-Jean-sur-Reyssouze;1560;1364;5.06667;46.4
72;1;GARNERANS;Garnerans;1140;1167;4.83333;46.2
73;1;MONTREVEL-EN-BRESSE;Montrevel-en-Bresse;1340;1266;5.13333;46.3333
74;1;CONAND;Conand;1230;1111;5.46667;45.8833
75;1;CHALLES-LA-MONTAGNE;Challes-la-Montagne;1450;1077;5.46667;46.1333
76;1;MOGNENEINS;Mogneneins;1140;1252;4.81667;46.1333
77;1;THOISSEY;Thoissey;1140;1420;4.8;46.1667
78;1;CHALEINS;Chaleins;1480;1075;4.8;46.0333
79;1;NEUVILLE-SUR-AIN;Neuville-sur-Ain;1160;1273;5.36667;46.0833
80;1;THIL;Thil;1120;1418;5.01667;45.8167
81;1;JUJURIEUX;Jujurieux;1640;1199;5.41667;46.0333
82;1;ONCIEU;Oncieu;1230;1279;5.46667;45.95
83;1;LURCY;Lurcy;1090;1225;4.76667;46.0667
84;1;BALAN;Balan;1360;1027;5.1;45.8333
85;1;AMBUTRIX;Ambutrix;1500;1008;5.33333;45.9333
86;1;SAINTE-CROIX;Sainte-Croix;1120;1342;5.05195;45.8942
87;1;BLYES;Blyes;1150;1047;5.25;45.85
88;1;CONZIEU;Conzieu;1300;1117;5.6;45.7333
89;1;NIEVROZ;Niévroz;1120;1276;5.06667;45.8333
90;1;NURIEUX-VOLOGNAT;Nurieux-Volognat;1460;1267;5.52667;46.1856
91;1;AMBLEON;Ambléon;1300;1006;5.6;45.75
92;1;SAINT-MAURICE-DE-GOURDANS;Saint-Maurice-de-Gourdans;1800;1378;5.2;45.8167
93;1;CHEZERY-FORENS;Chézery-Forens;1200;1104;5.88333;46.2167
94;1;SAULT-BRENAZ;Sault-Brénaz;1150;1396;5.41667;45.85
95;1;MURS-ET-GELIGNIEUX;Murs-et-Gélignieux;1300;1268;5.66667;45.6333
96;1;LE PETIT-ABERGEMENT;Le Petit-Abergement;1260;1292;5.65;46.0333
97;1;CORMOZ;Cormoz;1560;1124;5.23333;46.45
98;1;SAINT-MARTIN-DE-BAVEL;Saint-Martin-de-Bavel;1510;1372;5.68333;45.85
99;1;SAINT-TRIVIER-DE-COURTES;Saint-Trivier-de-Courtes;1560;1388;5.08333;46.4667
100;1;BOYEUX-SAINT-JEROME;Boyeux-Saint-Jérôme;1640;1056;5.46667;46.0333
101;1;CHATEAU-GAILLARD;Château-Gaillard;1500;1089;5.3;45.9667
102;1;PREMEYZEL;Prémeyzel;1300;1310;5.65;45.6833
103;1;ARANDAS;Arandas;1230;1013;5.48333;45.9
104;1;CHATENAY;Châtenay;1320;1090;5.2;46.0333
105;1;INNIMOND;Innimond;1680;1190;5.56667;45.7833
106;1;BOZ;Boz;1190;1057;4.9;46.4
107;1;BRIORD;Briord;1470;1064;5.46667;45.7833
108;1;REYRIEUX;Reyrieux;1600;1322;4.81667;45.9333
109;1;MATAFELON-GRANGES;Matafelon-Granges;1580;1240;5.56667;46.2667
110;1;DROM;Drom;1250;1150;5.36667;46.2167
111;1;CHATILLON-EN-MICHAILLE;Châtillon-en-Michaille;1200;1091;5.78333;46.1333
112;1;POLLIAT;Polliat;1310;1301;5.13333;46.25
113;1;VESANCY;Vesancy;1170;1436;6.08333;46.35
114;1;MASSIEUX;Massieux;1600;1238;4.83333;45.9167
115;1;SAINT-CYR-SUR-MENTHON;Saint-Cyr-sur-Menthon;1380;1343;4.98333;46.2667
116;1;SERRIERES-SUR-AIN;Serrières-sur-Ain;1450;1404;5.45;46.15
117;1;NIVOLLET-MONTGRIFFON;Nivollet-Montgriffon;1230;1277;5.43333;45.9833
118;1;IZERNORE;Izernore;1580;1192;5.55;46.2167
119;1;SAINT-NIZIER-LE-DESERT;Saint-Nizier-le-Désert;1320;1381;5.15;46.05
120;1;GUEREINS;Guéreins;1090;1183;4.78333;46.1
121;1;ILLIAT;Illiat;1140;1188;4.88333;46.1833
122;1;LA TRANCLIERE;La Tranclière;1160;1425;5.26667;46.1167
123;1;SAINT-DIDIER-DE-FORMANS;Saint-Didier-de-Formans;1600;1347;4.78333;45.95
124;1;MERIGNAT;Mérignat;1450;1242;5.43333;46.0667
125;1;SAINT-ELOI;Saint-Éloi;1800;1349;5.15;45.9333
126;1;LA CHAPELLE-DU-CHATELARD;La Chapelle-du-Châtelard;1240;1085;5.03333;46.0667
127;1;SAINT-JEAN-DE-NIOST;Saint-Jean-de-Niost;1800;1361;5.21667;45.8333
128;1;SAVIGNEUX;Savigneux;1480;1398;4.85;46
129;1;NATTAGES;Nattages;1300;1271;5.76667;45.7333
130;1;SAINT-BENOIT;Saint-Benoît;1300;1338;5.58333;45.7
131;1;DOUVRES;Douvres;1500;1149;5.36667;45.9833
132;1;FRANCHELEINS;Francheleins;1090;1165;4.8;46.0667
133;1;DORTAN;Dortan;1590;1148;5.66667;46.3167
134;1;SAINT-GERMAIN-LES-PAROISSES;Saint-Germain-les-Paroisses;1300;1358;5.61667;45.7667
135;1;MIRIBEL;Miribel;1700;1249;4.95306;45.8245
136;1;LANCRANS;Lancrans;1200;1205;5.83333;46.1333
137;1;ECHENEVEX;Échenevex;1170;1153;6.03333;46.3167
138;1;SAINT-JEAN-SUR-VEYLE;Saint-Jean-sur-Veyle;1290;1365;4.91667;46.25
139;1;BILLIAT;Billiat;1200;1044;5.78333;46.0667
140;1;L'ABERGEMENT-DE-VAREY;L'Abergement-de-Varey;1640;1002;5.41667;46
141;1;VILLENEUVE;Villeneuve;1480;1446;4.83667;46.0212
142;1;VILLARS-LES-DOMBES;Villars-les-Dombes;1330;1443;5.01667;46
143;1;THEZILLIEU;Thézillieu;1110;1417;5.6;45.8833
144;1;SAINT-ETIENNE-SUR-REYSSOUZE;Saint-Étienne-sur-Reyssouze;1190;1352;5;46.4
145;1;SOUCLIN;Souclin;1150;1411;5.41667;45.8667
146;1;SAINT-JUST;Saint-Just;1250;1369;5.28;46.1903
147;1;CIVRIEUX;Civrieux;1390;1105;4.88333;45.9167
148;1;ARGIS;Argis;1230;1017;5.48333;45.9333
149;1;TALISSIEU;Talissieu;1510;1415;5.71667;45.8667
150;1;BIRIEUX;Birieux;1330;1045;5.03333;45.95
151;1;SAINT-JULIEN-SUR-VEYLE;Saint-Julien-sur-Veyle;1540;1368;4.95;46.2
152;1;THOIRY;Thoiry;1710;1419;5.97973;46.2364
153;1;LAIZ;Laiz;1290;1203;4.88333;46.25
154;1;CRESSIN-ROCHEFORT;Cressin-Rochefort;1350;1133;5.76667;45.7667
155;1;SAINT-CHAMP;Saint-Champ;1300;1341;5.73333;45.7833
156;1;SAINT-GEORGES-SUR-RENON;Saint-Georges-sur-Renon;1400;1356;5.03333;46.1
157;1;LANTENAY;Lantenay;1430;1206;5.53333;46.05
158;1;VERNOUX;Vernoux;1560;1433;5.11667;46.4833
159;1;CORMARANCHE-EN-BUGEY;Cormaranche-en-Bugey;1110;1122;5.6;45.95
160;1;SAINTE-EUPHEMIE;Sainte-Euphémie;1600;1353;4.78333;45.9667
161;1;BEAUPONT;Beaupont;1270;1029;5.26667;46.4
162;1;BRENS;Brens;1300;1061;5.69473;45.7187
163;1;RAMASSE;Ramasse;1250;1317;5.35;46.2
164;1;DIVONNE-LES-BAINS;Divonne-les-Bains;1220;1143;6.13333;46.3667
165;1;LEAZ;Léaz;1200;1209;5.88333;46.1
166;1;VILLES;Villes;1200;1448;5.78333;46.0833
167;1;SAINT-JULIEN-SUR-REYSSOUZE;Saint-Julien-sur-Reyssouze;1560;1367;5.11667;46.4
168;1;GROSLEE;Groslée;1680;1182;5.56667;45.7167
169;1;VANDEINS;Vandeins;1660;1429;5.08333;46.2167
170;1;VERJON;Verjon;1270;1432;5.35;46.35
171;1;SAINT-ANDRE-SUR-VIEUX-JONC;Saint-André-sur-Vieux-Jonc;1240;1336;5.06667;46.15
172;1;SAINT-ANDRE-D'HUIRIAT;Saint-André-d'Huiriat;1290;1334;4.91667;46.2167
173;1;GRILLY;Grilly;1220;1180;6.11667;46.3333
174;1;CESSY;Cessy;1170;1071;6.06667;46.3167
175;1;ORDONNAZ;Ordonnaz;1510;1280;5.53333;45.8333
176;1;VESCOURS;Vescours;1560;1437;5.03333;46.4667
177;1;MEILLONNAS;Meillonnas;1370;1241;5.35;46.25
178;1;GEOVREISSET;Géovreisset;1100;1171;5.6;46.25
179;1;CEYZERIEU;Ceyzérieu;1350;1073;5.73333;45.8333
180;1;BEARD-GEOVREISSIAT;Béard-Géovreissiat;1460;1170;5.56667;46.2
181;1;LA BURBANCHE;La Burbanche;1510;1066;5.56667;45.85
182;1;PERREX;Perrex;1540;1291;4.98333;46.2333
183;1;VILLEMOTIER;Villemotier;1270;1445;5.31667;46.35
184;1;JASSERON;Jasseron;1250;1195;5.33333;46.2167
185;1;CORVEISSIAT;Corveissiat;1250;1125;5.48333;46.2333
186;1;JOURNANS;Journans;1250;1197;5.33333;46.15
187;1;SERMOYER;Sermoyer;1190;1402;4.98333;46.5
188;1;CHARIX;Charix;1130;1087;5.68333;46.1833
189;1;ARBIGNIEU;Arbignieu;1300;1015;5.65;45.7333
190;1;LEYSSARD;Leyssard;1450;1214;5.46667;46.1667
191;1;SAINT-JEAN-DE-THURIGNEUX;Saint-Jean-de-Thurigneux;1390;1362;4.88333;45.95
192;1;FRANS;Frans;1480;1166;4.78333;45.9833
193;1;TENAY;Tenay;1230;1416;5.5;45.9167
194;1;BAGE-LA-VILLE;Bâgé-la-Ville;1380;1025;4.95;46.3167
195;1;MONTMERLE-SUR-SAONE;Montmerle-sur-Saône;1090;1263;4.76667;46.0833
196;1;COURMANGOUX;Courmangoux;1370;1127;5.36667;46.3333
197;1;BANEINS;Baneins;1990;1028;4.9;46.1167
198;1;LAGNIEU;Lagnieu;1150;1202;5.35;45.9
199;1;ATTIGNAT;Attignat;1340;1024;5.16667;46.2833
200;1;SAINT-ANDRE-DE-BAGE;Saint-André-de-Bâgé;1380;1332;4.91667;46.3
201;1;PONT-DE-VAUX;Pont-de-Vaux;1190;1305;4.93333;46.4333
202;1;AMBERIEU-EN-BUGEY;Ambérieu-en-Bugey;1500;1004;5.35;45.95
203;1;PEYZIEUX-SUR-SAONE;Peyzieux-sur-Saône;1140;1295;4.81667;46.1167
204;1;CROZET;Crozet;1170;1135;6.01251;46.2806
205;1;SEYSSEL;Seyssel;1420;1407;5.83194;45.9597
206;1;BEYNOST;Beynost;1700;1043;5;45.8333
207;1;VERSONNEX;Versonnex;1210;1435;6.09723;46.3023
208;1;SAINT-LAURENT-SUR-SAONE;Saint-Laurent-sur-Saône;1620;1370;4.83333;46.3
209;1;ARTEMARE;Artemare;1510;1022;5.7;45.8667
210;1;MONTRACOL;Montracol;1310;1264;5.11667;46.1833
211;1;PARVES;Parves;1300;1286;5.75;45.75
212;1;PUGIEU;Pugieu;1510;1316;5.65;45.8167
213;1;VIRIEU-LE-GRAND;Virieu-le-Grand;1510;1452;5.65;45.85
214;1;SAINT-REMY;Saint-Rémy;1310;1385;5.16667;46.1833
215;1;RANCE;Rancé;1390;1318;4.86667;45.9667
216;1;GRIEGES;Grièges;1290;1179;4.85;46.25
217;1;GRAND-CORENT;Grand-Corent;1250;1177;5.43333;46.2
218;1;OUTRIAZ;Outriaz;1430;1282;5.55;46.0667
219;1;MONTAGNIEU;Montagnieu;1470;1255;5.46667;45.8
220;1;CHAMPAGNE-EN-VALROMEY;Champagne-en-Valromey;1260;1079;5.68333;45.9
221;1;AMBERIEUX-EN-DOMBES;Ambérieux-en-Dombes;1330;1005;4.9;46
222;1;LA BOISSE;La Boisse;1120;1049;5.03333;45.85
223;1;PARCIEUX;Parcieux;1600;1285;4.81667;45.9167
224;1;SAINT-DIDIER-D'AUSSIAT;Saint-Didier-d'Aussiat;1340;1346;5.06667;46.3
225;1;SAINT-NIZIER-LE-BOUCHOUX;Saint-Nizier-le-Bouchoux;1560;1380;5.15;46.45
226;1;ARS-SUR-FORMANS;Ars-sur-Formans;1480;1021;4.81667;45.9833
227;1;ANGLEFORT;Anglefort;1350;1010;5.80833;45.9167
228;1;CORLIER;Corlier;1110;1121;5.5;46.0333
229;1;FERNEY-VOLTAIRE;Ferney-Voltaire;1210;1160;6.11667;46.25
230;1;SAINT-MAURICE-DE-REMENS;Saint-Maurice-de-Rémens;1500;1379;5.28333;45.95
231;1;CHATILLON-LA-PALUD;Châtillon-la-Palud;1320;1092;5.25;45.9667
232;1;SAINT-SULPICE;Saint-Sulpice;1340;1387;5.04167;46.3203
233;1;SAINT-BOIS;Saint-Bois;1300;1340;5.63333;45.7
234;1;VIRIGNIN;Virignin;1300;1454;5.71667;45.7167
235;1;PREMILLIEU;Prémillieu;1110;1311;5.56667;45.8667
236;1;GENOUILLEUX;Genouilleux;1090;1169;4.78333;46.1167
237;1;REYSSOUZE;Reyssouze;1190;1323;4.91667;46.4333
238;1;COLLONGES;Collonges;1550;1109;5.9;46.1333
239;1;SAINT-GERMAIN-DE-JOUX;Saint-Germain-de-Joux;1130;1357;5.73333;46.1833
240;1;BREGNIER-CORDON;Brégnier-Cordon;1300;1058;5.61667;45.65
241;1;SAINT-MARTIN-LE-CHATEL;Saint-Martin-le-Châtel;1310;1375;5.11667;46.2833
242;1;MARIGNIEU;Marignieu;1300;1234;5.71667;45.8
243;1;LES NEYROLLES;Neyrolles;1130;1274;5.63333;46.1333
244;1;SULIGNAT;Sulignat;1400;1412;4.96667;46.1667
245;1;BENY;Bény;1370;1038;5.28333;46.3333
246;1;INJOUX-GENISSIAT;Injoux-Génissiat;1200;1189;5.78333;46.05
247;1;CHANAY;Chanay;1420;1082;5.78333;46
248;1;CHATILLON-SUR-CHALARONNE;Châtillon-sur-Chalaronne;1400;1093;4.96667;46.1167
249;1;FARGES;Farges;1550;1158;5.91667;46.1667
250;1;SAINT-ALBAN;Saint-Alban;1450;1331;5.45;46.1
251;1;CURTAFOND;Curtafond;1310;1140;5.08333;46.2667
252;1;VIRIAT;Viriat;1440;1451;5.21667;46.25
253;1;BELLEYDOUX;Belleydoux;1130;1035;5.76667;46.25
254;1;BAGE-LE-CHATEL;Bâgé-le-Châtel;1380;1026;4.93333;46.3
255;1;SAINTE-OLIVE;Sainte-Olive;1330;1382;4.93333;46.0167
256;1;SAINT-GENIS-SUR-MENTHON;Saint-Genis-sur-Menthon;1380;1355;5.01667;46.2833
257;1;DOMSURE;Domsure;1270;1147;5.3;46.4167
258;1;CHAVANNES-SUR-SURAN;Chavannes-sur-Suran;1250;1095;5.41667;46.2667
259;1;PRIAY;Priay;1160;1314;5.28333;46
260;1;PEYRIEU;Peyrieu;1300;1294;5.67751;45.6767
261;1;LALLEYRIAT;Lalleyriat;1130;1204;5.71667;46.15
262;1;SERGY;Sergy;1630;1401;6;46.25
263;1;SAINT-MARTIN-DU-FRENE;Saint-Martin-du-Frêne;1430;1373;5.55;46.1333
264;1;SAINT-MAURICE-DE-BEYNOST;Saint-Maurice-de-Beynost;1700;1376;4.96667;45.8333
265;1;SERVAS;Servas;1240;1405;5.16667;46.1333
266;1;CUZIEU;Cuzieu;1300;1141;5.67445;45.8192
267;1;JAYAT;Jayat;1340;1196;5.11667;46.3667
268;1;LAVOURS;Lavours;1350;1208;5.76667;45.8
269;1;CHEVROUX;Chevroux;1190;1102;4.95;46.3833
270;1;POLLIEU;Pollieu;1350;1302;5.75;45.8
271;1;BELIGNEUX;Béligneux;1360;1032;5.11667;45.8667
272;1;BRENAZ;Brénaz;1260;1059;5.71667;45.95
273;1;BENONCES;Bénonces;1470;1037;5.48333;45.8333
274;1;SAINT-JEAN-LE-VIEUX;Saint-Jean-le-Vieux;1640;1363;5.38917;46.0284
275;1;BEAUREGARD;Beauregard;1480;1030;4.75139;46.002
276;1;OYONNAX;Oyonnax;1100;1283;5.66667;46.25
277;1;MIONNAY;Mionnay;1390;1248;4.93333;45.9
278;1;GERMAGNAT;Germagnat;1250;1172;5.45;46.3167
279;1;COLIGNY;Coligny;1270;1108;5.35;46.3833
280;1;SIMANDRE-SUR-SURAN;Simandre-sur-Suran;1250;1408;5.41667;46.2167
281;1;L'ABERGEMENT-CLEMENCIAT;L'Abergement-Clémenciat;1400;1001;4.91667;46.15
282;1;LESCHEROUX;Lescheroux;1560;1212;5.15;46.4
283;1;ORNEX;Ornex;1210;1281;6.1;46.2833
284;1;DOMMARTIN;Dommartin;1380;1144;4.99167;46.3417
285;1;LOMPNAS;Lompnas;1680;1219;5.51667;45.8
286;1;BETTANT;Bettant;1500;1041;5.36667;45.9333
287;1;ARMIX;Armix;1510;1019;5.58333;45.85
288;1;FEILLENS;Feillens;1570;1159;4.88333;46.3333
289;1;CHAVORNAY;Chavornay;1510;1097;5.7;45.8833
290;1;CHALLEX;Challex;1630;1078;5.96667;46.1833
291;1;VONGNES;Vongnes;1350;1456;5.71667;45.8167
292;1;MAGNIEU;Magnieu;1300;1227;5.71667;45.7833
293;1;GROISSIAT;Groissiat;1810;1181;5.6;46.2167
294;1;DOMPIERRE-SUR-CHALARONNE;Dompierre-sur-Chalaronne;1400;1146;4.9;46.1333
295;1;MONTLUEL;Montluel;1120;1262;5.05;45.85
296;1;LE POIZAT;Le Poizat;1130;1300;5.7;46.15
297;1;HOSTIAZ;Hostiaz;1110;1186;5.53333;45.9
298;1;MONTANGES;Montanges;1200;1257;5.8;46.1667
299;1;SAINTE-JULIE;Sainte-Julie;1150;1366;5.28333;45.8833
300;1;BEY;Bey;1290;1042;4.85;46.2167
301;1;SONTHONNAX-LA-MONTAGNE;Sonthonnax-la-Montagne;1580;1410;5.53333;46.2333
302;1;MEZERIAT;Mézériat;1660;1246;5.03333;46.2333
303;1;BELLIGNAT;Bellignat;1810;1031;5.61667;46.25
304;1;SAINT-MARCEL;Saint-Marcel;1390;1371;4.98723;45.9487
305;1;BELLEY;Belley;1300;1034;5.68333;45.7667
306;1;CORBONOD;Corbonod;1420;1118;5.81667;45.95
307;1;NEYRON;Neyron;1700;1275;4.93223;45.8148
308;1;SAINT-PAUL-DE-VARAX;Saint-Paul-de-Varax;1240;1383;5.13333;46.1
309;1;PRESSIAT;Pressiat;1370;1312;5.38333;46.3333
310;1;CHAZEY-BONS;Chazey-Bons;1300;1098;5.68333;45.8
311;1;SERVIGNAT;Servignat;1560;1406;5.06667;46.4333
312;1;MARLIEUX;Marlieux;1240;1235;5.06667;46.0667
313;1;ANDERT-ET-CONDON;Andert-et-Condon;1300;1009;5.65;45.8
314;1;HAUTECOURT-ROMANECHE;Hautecourt-Romanèche;1250;1184;5.41667;46.1583
315;1;CROTTET;Crottet;1620;1134;4.9;46.2833
316;1;DRUILLAT;Druillat;1160;1151;5.31667;46.0667
317;1;DOMPIERRE-SUR-VEYLE;Dompierre-sur-Veyle;1240;1145;5.2;46.0667
318;1;PEROUGES;Pérouges;1800;1290;5.18333;45.9
319;1;RIGNIEUX-LE-FRANC;Rignieux-le-Franc;1800;1325;5.18333;45.9333
320;1;GIRON;Giron;1130;1174;5.76667;46.2333
321;1;CERDON;Cerdon;1450;1068;5.46667;46.0833
322;1;CRUZILLES-LES-MEPILLAT;Cruzilles-lès-Mépillat;1290;1136;4.88333;46.2167
323;1;LELEX;Lélex;1410;1210;5.95;46.3
324;1;LHOPITAL;Lhôpital;1420;1215;5.77834;46.0217
325;1;SEGNY;Ségny;1170;1399;6.08333;46.3
326;1;CHEIGNIEU-LA-BALME;Cheignieu-la-Balme;1510;1100;5.61667;45.8333
327;1;SAINT-VULBAS;Saint-Vulbas;1150;1390;5.28333;45.8333
328;1;ECHALLON;Échallon;1130;1152;5.74139;46.21
329;1;LE MONTELLIER;Le Montellier;1800;1260;5.06667;45.9333
330;1;MARTIGNAT;Martignat;1810;1237;5.6;46.2167
331;1;CEYZERIAT;Ceyzériat;1250;1072;5.31667;46.1667
332;1;MONTCET;Montcet;1310;1259;5.11667;46.2
333;1;VONNAS;Vonnas;1540;1457;5;46.2167
334;1;BUELLAS;Buellas;1310;1065;5.13333;46.2
335;1;SAINT-BENIGNE;Saint-Bénigne;1190;1337;4.96667;46.4333
336;1;CHEVILLARD;Chevillard;1430;1101;5.58333;46.1167
337;1;BOULIGNEUX;Bouligneux;1330;1052;5;46.0167
338;1;CONTREVOZ;Contrevoz;1300;1116;5.63333;45.8
339;1;CHAMPDOR;Champdor;1110;1080;5.6;46.0167
340;1;PORT;Port;1460;1307;5.56667;46.1667
341;1;SURJOUX;Surjoux;1420;1413;5.8;46.0167
342;1;CHAMPFROMIER;Champfromier;1410;1081;5.81667;46.2
343;1;VESINES;Vésines;1570;1439;4.86667;46.35
344;1;SEILLONNAZ;Seillonnaz;1470;1400;5.48333;45.8
345;1;VARAMBON;Varambon;1160;1430;5.31667;46.0333
346;1;LE GRAND-ABERGEMENT;Le Grand-Abergement;1260;1176;5.66667;46.0333
347;1;JASSANS-RIOTTIER;Jassans-Riottier;1480;1194;4.75;45.9833
348;1;ASNIERES-SUR-SAONE;Asnières-sur-Saône;1570;1023;4.88333;46.3833
349;1;CONDAMINE;Condamine;1430;1112;5.56667;46.1167
350;1;LHUIS;Lhuis;1680;1216;5.53333;45.75
351;1;ROMANS;Romans;1400;1328;5.03333;46.1167
352;1;PIZAY;Pizay;1120;1297;5.08333;45.8833
353;1;CERTINES;Certines;1240;1069;5.26667;46.1333
354;1;RUFFIEU;Ruffieu;1260;1330;5.66667;46
355;1;MEXIMIEUX;Meximieux;1800;1244;5.2;45.9
356;1;SAINT-RAMBERT-EN-BUGEY;Saint-Rambert-en-Bugey;1230;1384;5.43333;45.95
357;1;AMBRONAY;Ambronay;1500;1007;5.35;46
358;1;CIZE;Cize;1250;1106;5.43333;46.2
359;1;SAINT-GERMAIN-SUR-RENON;Saint-Germain-sur-Renon;1240;1359;5.05;46.0833
360;1;VILLETTE-SUR-AIN;Villette-sur-Ain;1320;1449;5.26862;45.9884
361;1;DAGNEUX;Dagneux;1120;1142;5.06667;45.85
362;1;BOISSEY;Boissey;1190;1050;5;46.3833
363;1;SALAVRE;Salavre;1270;1391;5.35;46.3667
364;1;BRION;Brion;1460;1063;5.55251;46.1728
365;1;LABALME;Labalme;1450;1200;5.48333;46.1
366;1;SAUVERNY;Sauverny;1220;1397;6.11667;46.3167
367;1;MONTCEAUX;Montceaux;1090;1258;4.8;46.1
368;1;BRENOD;Brénod;1110;1060;5.6;46.0667
369;1;MISERIEUX;Misérieux;1600;1250;4.81667;45.9833
