nb;dept;COMMUNE;Commune;CP;Code_insee;longitude;latitude
15481;40;LEON;Léon;40550;40150;-1.3;43.8833
15482;40;LOUER;Louer;40380;40159;-0.883333;43.75
15483;40;GASTES;Gastes;40160;40108;-1.15;44.3333
15484;40;PARENTIS-EN-BORN;Parentis-en-Born;40160;40217;-1.06667;44.35
15485;40;RION-DES-LANDES;Rion-des-Landes;40370;40243;-0.916667;43.9333
15486;40;MIMIZAN;Mimizan;40200;40184;-1.23333;44.2
15487;40;GAILLERES;Gaillères;40090;40103;-0.366667;43.9333
15488;40;LAGRANGE;Grange;40240;40140;-0.1;43.9667
15489;40;BISCARROSSE;Biscarrosse;40600;40046;-1.16667;44.3917
15490;40;ORTHEVIELLE;Orthevielle;40300;40212;-1.15;43.55
15491;40;BEYRIES;Beyries;40700;40041;-0.633333;43.5667
15492;40;CASTELNAU-CHALOSSE;Castelnau-Chalosse;40360;40071;-0.85;43.6667
15493;40;CLASSUN;Classun;40320;40082;-0.416667;43.7167
15494;40;HAGETMAU;Hagetmau;40700;40119;-0.583333;43.6667
15495;40;DUHORT-BACHEN;Duhort-Bachen;40800;40091;-0.316667;43.7333
15496;40;FARGUES;Fargues;40500;40099;-0.45;43.7167
15497;40;LABENNE;Labenne;40530;40133;-1.41667;43.6
15498;40;MEZOS;Mézos;40170;40182;-1.16667;44.0833
15499;40;BAIGTS;Baigts;40380;40023;-0.783333;43.6833
15500;40;CAGNOTTE;Cagnotte;40300;40059;-1.06667;43.6
15501;40;SAINTE-COLOMBE;Sainte-Colombe;40700;40252;-0.55;43.6833
15502;40;PEYREHORADE;Peyrehorade;40300;40224;-1.1;43.55
15503;40;CAZALIS;Cazalis;40700;40079;-0.666667;43.6167
15504;40;BIAS;Bias;40170;40043;0.782223;44.1459
15505;40;SABRES;Sabres;40630;40246;-0.733333;44.15
15506;40;BIARROTTE;Biarrotte;40390;40042;0.727779;43.5609
15507;40;CANDRESSE;Candresse;40180;40063;-0.983333;43.7167
15508;40;BROCAS;Brocas;40420;40056;-0.533333;44.05
15509;40;NASSIET;Nassiet;40330;40203;-0.683333;43.6
